model	method	strategy	ratio	V_in	F_in	V_out	F_out	time_total_ms	time_build_ms	time_simplify_ms	heap_push	heap_pop	local_recompute_edges	skipped_invalid	nonmanifold_rejects	consistency_ok	qem_err_mean	qem_err_max	degenerate_faces	aspect_mean
Block	qem	edge_collapse	0.500000	2132	4272	1064	2136	27.751	4.943	20.558	14641	9739	8233	305	0	1	0.00000190	0.00003260	0	63.631703
Block	qem	edge_collapse	0.302000	2132	4272	641	1290	42.810	7.929	33.393	18057	11452	11649	397	0	1	0.00012561	0.00145336	0	15.199751
Block	qem	edge_collapse	0.233000	2132	4272	494	996	44.832	7.686	36.032	19111	12088	12703	419	0	1	0.00036294	0.00460141	0	18.897832
Block	qem	edge_collapse	0.159000	2132	4272	336	680	48.321	7.719	39.688	20202	15554	13794	433	0	1	0.00168425	0.03865491	0	24.811437
Block	qem	edge_collapse	0.050000	2132	4272	103	214	50.972	7.754	42.816	21685	19190	15277	435	0	1	0.08833637	7.86250950	0	52.095794
Block	qem	edge_collapse	0.456000	2132	4272	970	1948	40.440	7.202	31.055	15464	10200	9056	325	0	1	0.00000639	0.00009129	0	35.577407
Block	qem	vertex_delete	0.936000	2132	4272	2132	4272	2582.113	7.529	2571.857	2132	2132	0	2132	0	1	0.00000000	0.00000000	0	29.514219
Block	qem	vertex_delete	0.876000	2132	4272	2132	4272	2638.795	7.819	2628.223	2132	2132	0	2132	0	1	0.00000000	0.00000000	0	29.514219
Block	qem	vertex_delete	0.525000	2132	4272	2132	4272	2651.833	8.257	2640.847	2132	2132	0	2132	0	1	0.00000000	0.00000000	0	29.514219
Block	qem	vertex_delete	0.193000	2132	4272	2132	4272	2677.776	4.346	2670.638	2132	2132	0	2132	0	1	0.00000000	0.00000000	0	29.514219
Block	qem	edge_collapse	0.500000	2132	4272	1064	2136	34.264	6.711	25.237	14641	9739	8233	305	0	1	0.00000190	0.00003260	0	63.631703
Block	qem	vertex_delete	0.500000	2132	4272	1064	2136	1057.148	7.630	1048.081	8890	7146	6758	11	0	1	0.00000012	0.00000194	0	12.930764
Block	qem	vertex_delete	0.829000	2132	4272	1767	3542	432.528	7.527	422.681	4353	1686	2221	0	0	1	0.00000000	0.00000001	0	38.243666
Block	qem	vertex_delete	0.954000	2132	4272	2034	4076	148.462	8.754	137.141	2743	418	611	0	0	1	0.00000000	0.00000000	0	43.889065
Block	qem	vertex_delete	0.500000	2132	4272	1064	2136	1009.794	6.850	1001.412	8890	7146	6758	11	0	1	0.00000012	0.00000194	0	12.930764
Block	qem	vertex_delete	0.634000	2132	4272	1350	2708	815.310	7.401	806.048	6974	4641	4842	2	0	1	0.00000001	0.00000006	0	33.261024
Block	qem	vertex_delete	0.722000	2132	4272	1538	3084	659.726	7.541	650.189	5742	3190	3610	0	0	1	0.00000001	0.00000002	0	38.498604
Block	qem	vertex_delete	0.968000	2132	4272	2064	4136	112.119	7.996	101.473	2558	283	426	0	0	1	0.00000000	0.00000000	0	43.820557
Block	qem	vertex_delete	0.986000	2132	4272	2102	4212	65.183	8.273	53.999	2324	111	192	0	0	1	-0.00000000	0.00000000	0	30.870474
Block	qem	vertex_delete	1.000000	2132	4272	2132	4272	13.829	8.024	0.000	2132	0	0	0	0	1	0.00000000	0.00000000	0	29.514219
Block	qem	vertex_delete	0.304000	2132	4272	645	1298	1269.888	4.700	1264.132	11438	9812	9306	68	0	1	0.00002649	0.00038365	0	5.276366
Block	qem	vertex_delete	0.304000	2132	4272	645	1298	1258.389	2.802	1254.531	11438	9812	9306	68	0	1	0.00002649	0.00038365	0	5.276366
Block	qem	vertex_delete	0.198000	2132	4272	419	846	1364.808	7.088	1356.946	12793	11404	10661	112	0	1	0.00016896	0.00257614	0	5.852932
Block	qem	vertex_delete	0.198000	2132	4272	419	846	1358.856	4.502	1353.619	12793	11404	10661	112	0	1	0.00016896	0.00257614	0	5.852932
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	459.807	93.212	315.232	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	449.716	82.148	320.249	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	433.495	83.477	304.700	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	416.539	80.484	289.075	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	436.710	89.121	292.561	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	450.219	81.644	319.866	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	418.309	83.601	288.455	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
Bunny	qem	edge_collapse	0.500000	35292	70580	17647	35290	424.177	82.897	297.909	232569	102562	126699	47	0	1	0.00000001	0.00000002	0	2.374762
