model	ratio	V_in	F_in	V_out	F_out	time_total_ms	time_build_ms	time_simplify_ms	heap_push	heap_pop	local_recompute_edges	skipped_invalid	nonmanifold_rejects	consistency_ok	qem_err_mean	qem_err_max	degenerate_faces	aspect_mean

Arma	0.500000	23201	46398	11601	23198	315.507	75.303	210.100	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	0.500000	23201	46398	11601	23198	298.965	70.269	198.375	152194	61214	82597	53	0	1	0.00000418	0.00001202	0	2.769786
Arma	0.300000	23201	46398	6962	13920	390.973	79.064	293.484	184552	121073	114955	78	0	1	0.00001021	0.00004942	0	2.767225
Arma	0.100000	23201	46398	2322	4640	458.365	74.277	375.125	217106	196219	147509	91	0	1	0.00006583	0.00110589	0	2.768574
